Zone,Annee,Precipitation_annuelle_mm,Precipitation_max_24h_mm,Temperature_moy_C,Humidite_pct,Niveau_eau_moy_m,Elevation_moy_m,Couverture_forest_pct,Surface_impermeable_pct,Drainage_capacite_pct,Densite_pop_km2,PIB_habitant_USD,Infra_protection_pct,Qualite_construction_idx,Alerte_precoce_idx,Subsidence_cm_an,Cyclones_an,ma3_Risque,lag1_Risque,Indice_Risque_Inondation,Degats_millions_USD,Population_a_risque_M,Zone_enc,lag1_Indice_Risque_Inondation,ma3_Indice_Risque_Inondation,lag1_Degats_millions_USD,ma3_Degats_millions_USD,lag1_Population_a_risque_M,ma3_Population_a_risque_M
Mekong_Delta,2024,1470.6,131.0,25.75,70.8,3.82,9.0,52.32,35.47,81.1,1760.9,4039.2,67.59,66.38,63.57,2.07,2,86.98,84.24,85.4,536.0,15.72,9,83.93,88.2,607.3,649.3000000000001,16.48,17.046666666666667
Red_River_Delta,2015,1844.9,222.0,28.26,82.7,4.17,11.9,39.96,27.78,66.45,2239.6,3660.8,58.17,73.65,63.18,0.81,1,68.53,66.28,80.19,463.3,18.87,10,59.73,69.96,448.9,456.1,16.94,17.905
Red_River_Delta,2016,1563.6,61.1,25.88,78.0,3.26,15.0,53.57,28.4,81.19,2059.9,3760.8,51.62,78.34,59.34,0.78,2,67.1,66.62,60.2,464.5,17.21,10,80.19,66.70666666666666,463.3,458.90000000000003,18.87,17.673333333333336
Red_River_Delta,2017,1793.4,66.9,26.63,77.2,3.23,4.7,53.46,28.95,90.81,2002.4,3987.6,61.78,91.25,55.73,0.44,1,68.04,65.93,58.19,515.8,17.54,10,60.2,66.19333333333333,464.5,481.2,17.21,17.87333333333333
Red_River_Delta,2018,1832.2,161.5,27.84,75.5,5.28,14.7,45.08,31.97,83.95,2139.0,3738.2,57.07,72.19,63.25,1.33,1,67.45,66.38,74.92,619.4,19.39,10,58.19,64.43666666666667,515.8,533.2333333333333,17.54,18.046666666666667
Red_River_Delta,2019,1434.8,71.2,27.3,77.9,3.21,6.2,44.4,30.06,71.62,2286.1,3810.0,59.52,84.05,79.35,0.38,2,67.15,67.35,59.51,387.0,17.48,10,74.92,64.20666666666666,619.4,507.40000000000003,19.39,18.136666666666667
Red_River_Delta,2020,1487.6,208.4,27.22,79.3,4.16,5.5,44.64,29.51,77.41,1758.1,3752.8,49.75,85.9,58.77,1.58,3,66.46,66.69,89.48,709.7,19.98,10,59.51,74.63666666666667,387.0,572.0333333333334,17.48,18.95
Red_River_Delta,2021,1612.2,101.1,27.56,75.8,2.59,1.7,43.01,30.11,79.06,1720.1,3805.3,64.87,80.64,62.65,1.44,2,69.74,67.45,64.04,367.7,17.61,10,89.48,71.01,709.7,488.13333333333344,19.98,18.356666666666666
Red_River_Delta,2022,2229.4,219.0,28.01,72.6,4.96,-0.4,47.09,32.9,83.11,1673.5,4411.4,53.58,76.26,58.21,0.12,3,70.17,71.2,80.66,710.0,20.18,10,64.04,78.06,367.7,595.8000000000001,17.61,19.256666666666668
Red_River_Delta,2023,1694.7,109.7,27.43,79.6,3.35,6.7,42.01,36.98,74.47,1934.7,4653.6,67.02,86.55,63.82,1.16,2,69.87,65.66,62.7,547.7,17.79,10,80.66,69.13333333333334,710.0,541.8000000000001,20.18,18.526666666666667
Red_River_Delta,2024,1348.5,82.4,26.86,73.8,4.7,6.9,41.71,36.76,84.81,2139.2,4422.1,58.35,78.51,68.05,0.74,1,68.48,68.94,58.38,540.2,18.03,10,62.7,67.24666666666667,547.7,599.3000000000001,17.79,18.666666666666668
Yangon_Peripherie,2015,932.5,188.9,27.03,78.4,4.34,6.7,47.49,32.4,54.61,744.3,2751.2,36.5,50.85,35.86,1.05,3,66.77,68.49,86.18,449.8,5.29,11,68.99,77.58500000000001,351.0,400.4,4.35,4.82
Yangon_Peripherie,2016,1881.0,103.8,26.42,76.8,3.31,14.4,36.6,27.77,53.12,684.6,2782.5,34.91,46.51,33.37,1.12,3,63.54,65.74,63.68,257.3,4.81,11,86.18,72.95,449.8,352.7,5.29,4.816666666666666
Yangon_Peripherie,2017,1678.4,133.5,27.83,76.6,3.33,20.7,42.87,33.71,51.63,195.3,1996.6,36.26,56.88,40.34,1.46,1,67.94,64.84,70.52,295.6,4.4,11,63.68,73.46000000000001,257.3,334.23333333333335,4.81,4.833333333333333
Yangon_Peripherie,2018,2321.6,158.8,26.04,78.1,4.16,25.5,47.18,30.77,46.52,193.9,2322.4,40.02,58.94,42.51,1.11,2,66.32,65.38,83.82,411.9,6.36,11,70.52,72.67333333333333,295.6,321.6,4.4,5.19
Yangon_Peripherie,2019,860.3,114.1,27.82,74.8,3.2,15.2,36.12,35.67,49.34,497.3,2312.8,41.64,64.3,41.31,0.57,2,65.62,67.65,69.21,160.3,4.09,11,83.82,74.51666666666667,411.9,289.26666666666665,6.36,4.95
Yangon_Peripherie,2020,2213.3,184.5,26.36,76.1,3.44,11.6,54.25,35.41,63.15,756.5,2978.2,49.92,54.09,36.96,1.52,4,65.42,65.13,80.32,480.4,6.54,11,69.21,77.78333333333332,160.3,350.8666666666666,4.09,5.663333333333334
Yangon_Peripherie,2021,1107.7,177.3,26.7,77.2,3.15,22.8,44.11,30.95,56.72,738.8,2633.7,44.55,48.27,35.94,0.0,0,68.17,67.97,70.31,409.0,4.39,11,80.32,73.27999999999999,480.4,349.90000000000003,6.54,5.006666666666667
Yangon_Peripherie,2022,1867.0,181.7,27.14,77.4,4.99,12.6,46.16,37.09,54.54,395.9,2304.1,41.39,51.74,39.34,0.99,5,64.4,63.61,81.88,417.0,6.59,11,70.31,77.50333333333333,409.0,435.4666666666667,4.39,5.84
Yangon_Peripherie,2023,1720.2,158.5,26.06,76.3,3.85,15.1,53.27,37.37,52.52,416.9,2560.7,37.99,56.08,40.68,0.34,1,67.05,66.42,71.63,366.5,5.07,11,81.88,74.60666666666667,417.0,397.5,6.59,5.3500000000000005
Yangon_Peripherie,2024,1620.8,108.4,26.57,78.7,2.43,11.3,40.97,30.91,48.36,761.9,2819.2,41.76,54.53,40.36,1.62,2,64.25,67.96,70.62,327.3,4.16,11,71.63,74.71,366.5,370.26666666666665,5.07,5.273333333333333
